読み込み:pagination.php
&laquo; Previous	&laquo; 前
Next &raquo;	次 &raquo

読み込み:passwords.php
Passwords must be at least six characters and match the confirmation.	パスワードは最低６文字で、確認項目と一致している必要があります。
We can't find a user with that e-mail address.	メールアドレスに一致するユーザーは存在していません。
This password reset token is invalid.	このパスワードリセットトークンは無効です。
We have e-mailed your password reset link!	パスワードリセットメールを送信しました。
Your password has been reset!	パスワードをリセットしました。

読み込み:validation.php
The :attribute must be accepted.	:attributeを承認してください。
The :attribute is not a valid URL.	:attributeが有効なURLではありません。
The :attribute must be a date after :date.	:attributeには、:date以降の日付を指定してください。
The :attribute may only contain letters.	:attributeはアルファベッドのみがご利用できます。
The :attribute may only contain letters, numbers, and dashes.	:attributeは英数字とダッシュ(-)及び下線(_)がご利用できます。
The :attribute may only contain letters and numbers.	:attributeは英数字がご利用できます。
The :attribute must be an array.	:attributeは配列でなくてはなりません。
The :attribute must be a date before :date.	:attributeには、:date以前の日付をご利用ください。
The :attribute must be between :min and :max.	:attributeは、:minから:maxの間で指定してください。
The :attribute must be between :min and :max kilobytes.	:attributeは、:min kBから、:max kBの間で指定してください。
The :attribute must be between :min and :max characters.	:attributeは、:min文字から、:max文字の間で指定してください。
The :attribute must have between :min and :max items.	:attributeは、:min個から:max個の間で指定してください。

The :attribute field must be true or false.	:attributeは、trueかfalseを指定してください。
The :attribute confirmation does not match.	:attributeと、確認フィールドとが、一致していません。
The :attribute is not a valid date.	:attributeには有効な日付を指定してください。
The :attribute does not match the format :format.	:attributeは:format形式で指定してください。
The :attribute and :other must be different.	:attributeと:otherには、異なった内容を指定してください。
The :attribute must be :digits digits.	:attributeは:digits桁で指定してください。
The :attribute must be between :min and :max digits.	:attributeは:min桁から:max桁の間で指定してください。
The :attribute must be a valid email address.	:attributeには、有効なメールアドレスを指定してください。
The :attribute field is required.	:attributeを入力してください。
The selected :attribute is invalid.	選択された:attributeは正しくありません。
The :attribute must be an image.	:attributeには画像ファイルを指定してください。
The selected :attribute is invalid.	選択された:attributeは正しくありません。
The :attribute must be an integer.	:attributeは整数でご指定ください。
The :attribute must be a valid IP address.	:attributeには、有効なIPアドレスをご指定ください。

The :attribute may not be greater than :max.	:attributeには、:max以下の数字をご指定ください。
The :attribute may not be greater than :max kilobytes.	:attributeには、:max kB以下のファイルをご指定ください。
The :attribute may not be greater than :max characters.	:attributeは、:max文字以下でご指定ください。
The :attribute may not have more than :max items.	:attributeは:max個以下ご指定ください。

The :attribute must be a file of type: :values.	:attributeには:valuesタイプのファイルを指定してください。

The :attribute must be at least :min.	:attributeには、:min以上の数字をご指定ください。
The :attribute must be at least :min kilobytes.	:attributeには、:min kB以上のファイルをご指定ください。
The :attribute must be at least :min characters.	:attributeは、:min文字以上でご指定ください。
The :attribute must have at least :min items.	:attributeは:min個以上ご指定ください。

The selected :attribute is invalid.	選択された:attributeは正しくありません。
The :attribute must be a number.	:attributeには、数字を指定してください。
The :attribute format is invalid.	:attributeに正しい形式をご指定ください。
The :attribute field is required.	:attributeは必ず指定してください。
The :attribute field is required when :other is :value.	:otherが:valueの場合、:attributeも指定してください。
The :attribute field is required when :values is present.	:valuesを指定する場合は、:attributeも指定してください。
The :attribute field is required when :values is present.	:valuesを指定する場合は、:attributeも指定してください。
The :attribute field is required when :values is not present.	:valuesを指定しない場合は、:attributeを指定してください。
The :attribute field is required when none of :values are present.	:valuesのどれも指定しない場合は、:attributeを指定してください。
The :attribute and :other must match.	:attributeと:otherには同じ値を指定してください。

The :attribute must be :size.	:attributeは:sizeを指定してください。
The :attribute must be :size kilobytes.	:attributeのファイルは、:sizeキロバイトでなくてはなりません。
The :attribute must be :size characters.	:attributeは:size文字で指定してください。
The :attribute must contain :size items.	:attributeは:size個ご指定ください。

The :attribute has already been taken.	:attributeの値は既に存在しています。
The :attribute format is invalid.	:attributeに正しい形式をご指定ください。
The :attribute must be a valid zone.	:attributeには、有効なゾーンをご指定ください。

attribute-name	属性名
rule-name	ルール名
custom-message	カスタムメッセージ
